culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g
0.392727273,0.535714286,0.406779661,0.555555556
0.312727273,0.464285714,0.305084746,0.284722222
0.516363636,0.321428571,0.728813559,0.652777778
0.698181818,0.726190476,0.355932203,0.263888889
0.527272727,0.55952381,0.355932203,0.305555556
0.250909091,0.666666667,0.220338983,0.263888889
0.378181818,0.904761905,0.423728814,0.5
0.36,0.761904762,0.474576271,0.375
0.298181818,0.642857143,0.406779661,0.458333333
0.269090909,0.55952381,0.271186441,0.166666667
0.243636364,0.488095238,0.13559322,0.305555556
0.530909091,0.261904762,0.796610169,0.694444444
0.221818182,0.595238095,0.220338983,0.347222222
0.338181818,0.654761905,0.322033898,0.277777778
0.581818182,0.238095238,0.627118644,0.777777778
0.621818182,0.25,0.830508475,1
0.690909091,0.380952381,0.813559322,0.916666667
0.465454545,0.083333333,0.677966102,0.569444444
0.730909091,0.476190476,0.949152542,0.75
0.941818182,0.55952381,0.152542373,0.277777778
0.363636364,0.714285714,0.389830508,0.361111111
0.392727273,0,0.728813559,0.638888889
0.621818182,0.607142857,0.389830508,0.472222222
0.723636364,0.595238095,0.491525424,0.375
1,0.464285714,0.983050847,0.930555556
0.476363636,0.321428571,0.728813559,0.722222222
0.698181818,0.80952381,0.440677966,0.277777778
0.472727273,0.166666667,0.593220339,0.652777778
0.654545455,0.571428571,0.305084746,0.194444444
0.349090909,0.19047619,0.644067797,0.555555556
0.210909091,0.654761905,0.355932203,0.0625
0.534545455,0.404761905,0.288135593,0.263888889
0.414545455,0.25,0.694915254,0.541666667
0.298181818,0.583333333,0.389830508,0.152777778
0.24,0.702380952,0.389830508,0.208333333
0.258181818,0.654761905,0.305084746,0.430555556
0.512727273,0.523809524,0.254237288,0.263888889
0.218181818,0.404761905,0.440677966,0.3125
0.498181818,0.130952381,0.796610169,0.555555556
0.16,0.416666667,0.152542373,0.041666667
0.509090909,0.607142857,0.101694915,0.152777778
0.269090909,0.511904762,0.237288136,0.305555556
0.563636364,0.619047619,0.389830508,0.319444444
0.447272727,0.5,0.796610169,0.708333333
0.338181818,0.642857143,0.508474576,0.326388889
0.276363636,0.571428571,0.355932203,0.430555556
0.341818182,0.619047619,0.389830508,0.444444444
0.68,0.702380952,0.644067797,0.388888889
0.4,0.726190476,0.423728814,0.222222222
0.52,0.226190476,0.745762712,0.555555556
0.2,0.464285714,0.220338983,0.25
0.6,0.345238095,0.983050847,0.861111111
0.276363636,0.630952381,0.305084746,0.333333333
0.650909091,0.261904762,0.813559322,0.791666667
0.483636364,0.666666667,0.271186441,0.229166667
0.185454545,0.595238095,0.101694915,0.333333333
0.105454545,0.571428571,0.305084746,0.208333333
0.225454545,0.726190476,0.288135593,0.347222222
0.643636364,0.5,0.440677966,0.270833333
0.512727273,0.214285714,0.830508475,0.722222222
0.32,0.44047619,0.322033898,0.277777778
0.247272727,0.678571429,0.305084746,0.25
0.476363636,0.202380952,0.677966102,0.694444444
0.127272727,0.523809524,0.322033898,0.131944444
0.723636364,0.702380952,0.423728814,0.402777778
0.305454545,0.571428571,0.254237288,0.138888889
0.487272727,0.464285714,0.406779661,0.222222222
0.218181818,0.654761905,0.305084746,0.277777778
0.472727273,0.166666667,0.728813559,0.638888889
0.498181818,0.69047619,0.423728814,0.402777778
0.596363636,0.226190476,0.796610169,0.597222222
0.505454545,0.69047619,0.389830508,0.402777778
0.585454545,0.142857143,0.644067797,0.527777778
0.236363636,0.488095238,0.457627119,0.291666667
0.538181818,0.416666667,0.338983051,0
0.294545455,0.833333333,0.474576271,0.354166667
0.56,0.107142857,0.677966102,0.604166667
0.494545455,0.095238095,0.711864407,0.472222222
0.250909091,0.523809524,0.237288136,0.236111111
0.276363636,0.547619048,0.355932203,0.138888889
0.523636364,0.571428571,0.338983051,0.222222222
0.323636364,0.821428571,0.525423729,0.5625
0.152727273,0.761904762,0.305084746,0.305555556
0.203636364,0.666666667,0.13559322,0.25
0.378181818,0.428571429,0.254237288,0.180555556
0.189090909,0.880952381,0.457627119,0.298611111
0.665454545,0.261904762,0.881355932,0.791666667
0.778181818,0.80952381,0.559322034,0.5
0.643636364,0.333333333,0.966101695,0.902777778
0.163636364,0.55952381,0.220338983,0.277777778
0.334545455,0.952380952,0.389830508,0.472222222
0.178181818,0.452380952,0.220338983,0.083333333
0.305454545,0.69047619,0.13559322,0.347222222
0.56,0.226190476,0.779661017,0.625
0.523636364,0.166666667,0.694915254,0.472222222
0.68,0.5,0.949152542,0.805555556
0.563636364,0.166666667,0.728813559,0.75
0.650909091,0.25,0.779661017,0.833333333
0.254545455,0.666666667,0.152542373,0.291666667
0.541818182,0.5,0.220338983,0.277777778
